,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Gibbon,"https://www.maxpreps.com/high-schools/gibbon-buffaloes-(gibbon,ne)/basketball/rankings.htm",101.066666666667,,="9-15",12838,="9-15",13274,="8-15",14115,="3-13",15152,,="2-20",12953,="2-19",15384,="6-17",13443,="9-8",8693
Giltner,"https://www.maxpreps.com/high-schools/giltner-hornets-(giltner,ne)/basketball/rankings.htm",70.6833333333333,,="13-10",12163,="15-9",9650,="18-7",9933,="10-4",7232,,="21-5",4199,="4-17",14745,="8-13",14136,="10-6",8555
Grand Island,"https://www.maxpreps.com/high-schools/grand-island-islanders-(grand-island,ne)/basketball/rankings.htm",85.7,,="10-13",1580,="4-21",11939,="7-17",7621,="9-6",4445,,="9-15",5323,="2-23",12276,="7-17",11045,="2-12",11894
Grand Island Central Catholic (Grand Island),"https://www.maxpreps.com/high-schools/grand-island-central-catholic-crusaders-(grand-island,ne)/basketball/rankings.htm",85.7,,="25-6",1341,="13-13",4944,="13-11",4620,="13-2",1078,,="7-16",7997,="10-12",5735,="11-9",4005,="11-5",2378
Gretna,"https://www.maxpreps.com/high-schools/gretna-dragons-(gretna,ne)/basketball/rankings.htm",36.1333333333333,,="25-3",680,="27-1",164,="27-2",132,="12-2",303,,="15-8",2226,="17-8",1651,="18-7",1661,="11-3",1406
Gross Catholic (Omaha),"https://www.maxpreps.com/high-schools/gross-catholic-cougars-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="7-17-1",8462,="13-13",4957,="7-19",8302,="6-10",5364,,="18-10",1905,="7-17",9434,="8-16",8600,="8-7",4877
Guardian Angels Central Catholic (West Point),"https://www.maxpreps.com/high-schools/guardian-angels-central-catholic-bluejays-(west-point,ne)/basketball/rankings.htm",91.7666666666667,,="10-15",7482,="16-9",2889,="16-14",5761,="3-12",13590,,="24-4",357,="28-2",313,="24-2",325,="11-5",3118
Hampton,"https://www.maxpreps.com/high-schools/hampton-hawks-(hampton,ne)/basketball/rankings.htm",59.9333333333333,,="2-19",18531,="5-17",16620,="5-16",18066,="5-10",15533,,="20-5",4668,="20-5",4711,="21-4",4916,="4-11",14573
Harvard,"https://www.maxpreps.com/high-schools/harvard-cardinals-(harvard,ne)/basketball/rankings.htm",84.4333333333333,,="4-21",18209,="6-16",16381,="8-15",17414,="10-5",10847,,="8-15",11462,="6-18",15065,="6-16",15538,="2-14",16708
Hastings,"https://www.maxpreps.com/high-schools/hastings-tigers-(hastings,ne)/basketball/rankings.htm",94.05,,="9-14",5650,="9-13",6144,="9-15",6429,="6-9",7007,,="13-12",4021,="17-7",2679,="9-15",8636,="9-4",3574
